CODFILIAL;CLASSIFICACAO;CODPROD;PRODUTO;CODFORNEC;FORNECEDOR;VALOR_ULTIMA_ENTRADA;QTD_TOTAL_ESTOQUE;QTD_GIRO_DIA;COBERTURA_ESTOQUE_ORIGINAL;COBERTURA_ESTOQUE_AJUSTADA;QTD_VENDAS_90D;QTD_DIAS_ZERADOS;VALOR_ESTOQUE;GIRO_MEDIO_CORRIGIDO;VALOR_EXCEDENTE
1;Farma;14;FLOMICIN (SACCHAROMYCES) 100MG 12CAP;47252;HYPERA S.A;10,087154;255;5,456;46,74;46,74;499;0;2572,22;5,54;0,0
1;HB;43;ATADURA CREP 08CMX1,8M CYSNE 1UN CREMER;791794;CREMER S.A;1,619992;2010;32,214;62,4;62,4;2808;0;3256,18;31,2;125,24
1;HB;51;ATADURA CREP 20CMX1,8M CYSNE 1UN CREMER;791794;CREMER S.A;3,750564;1064;12,35;86,15;86,15;1044;0;3990,6;11,6;1211,31
1;HB;60;ATADURA CREP 25CMX1,8M CYSNE 1UN CREMER;791794;CREMER S.A;4,719345;180;1,398;128,76;128,76;108;0;849,48;1,2;453,64
1;Farma;109;ALOPURINOL 100MG 30COM GEN SDZ;789228;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);4,330624;972;15,573;62,42;62,42;1401;0;4209,37;15,57;0,0
1;Farma;115;SORO FISIOLOGICO SORIMAX 0,9% 500ML;793261;FARMAX DISTRIBUIDORA S.A;2,999878;14;1950,709;0,01;0,01;187337;0;42,0;2081,52;0,0
1;Farma;120;PRAZY (PANTOPRAZOL) 40MG 28COM;37273;LEGRAND PHARMA IND FARM LTDA;7,159433;19;0,0;;9999,0;0;0;136,03;0,0;0,0
1;Farma;122;NIMESULIDA 100MG 12COM GEN NQ;47252;HYPERA S.A;1,703044;10709;84,932;126,09;126,09;7352;0;18237,9;81,69;5220,13
1;Farma;123;AZITROMICINA 500MG 3COM GEN MED;31267;MEDQUIMICA IND FARMACEUTICA S.;2,850264;3481;43,515;80,0;80,0;4411;0;9921,77;49,01;0,0
1;Farma;125;FLUCONAZOL 150MG 1CAP GEN MEDQ;31267;MEDQUIMICA IND FARMACEUTICA S.;0,776416;1135;50,0;22,7;22,7;4897;0;881,23;54,41;0,0
1;Farma;126;FLUCONAZOL 150MG 2CAP GEN MEDQ;31267;MEDQUIMICA IND FARMACEUTICA S.;1,43024;687;61,65;11,14;11,14;5587;0;982,57;62,08;0,0
1;Farma;172;LOPERAMIDA 2MG 12COM GEN SDZ;789228;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);2,112464;24;9,961;2,41;2,41;980;0;50,7;10,89;0,0
1;Farma;173;DEXTAMINE (DEXCLO+BETA) 2MG+0,25MG 20COM;33766;CIFARMA CIENTIFICA FARMAC LTDA;4,134108;12;0,971;12,36;12,36;100;0;49,61;1,11;0,0
